RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long,Country
1,704,STANDARD,PARC PARQUE,PR,17.96,-66.22,US
2,704,STANDARD,PASEO COSTA DEL SUR,PR,17.96,-66.22,US
3,704,STANDARD,SECT LANAUSSE,PR,17.96,-66.22,US
4,704,STANDARD,URB EUGENE RICE,PR,17.96,-66.22,US
5,704,STANDARD,URB GONZALEZ,PR,17.96,-66.22,US
6,704,STANDARD,URB LA FABRICA,PR,17.96,-66.22,US
7,704,STANDARD,URB MONTE SORIA 2,PR,17.96,-66.22,US
8,704,STANDARD,VILLAS DEL COQUI,PR,17.96,-66.22,US
9,705,STANDARD,AIBONITO,PR,18.14,-66.26,US
10,705,STANDARD,BDA SAN LUIS,PR,18.14,-66.26,US
11,705,STANDARD,BO LLANOS,PR,18.14,-66.26,US
12,705,STANDARD,BRISAS DE AIBONITO,PR,18.14,-66.26,US
13,705,STANDARD,COLINAS DE SAN FRANCISCO,PR,18.14,-66.26,US
14,705,STANDARD,EST DEL LLANO,PR,18.14,-66.26,US
15,705,STANDARD,EXT BELLA VISTA,PR,18.14,-66.26,US
16,705,STANDARD,EXT SAN LUIS,PR,18.14,-66.26,US
17,705,STANDARD,EXT VILLA ROSALES,PR,18.14,-66.26,US
18,705,STANDARD,REPTO ROBLES,PR,18.14,-66.26,US
19,705,STANDARD,URB BELLA VISTA,PR,18.14,-66.26,US
20,705,STANDARD,URB BUENA VISTA,PR,18.14,-66.26,US
21,705,STANDARD,URB GOLDEN VLG IV,PR,18.14,-66.26,US
22,705,STANDARD,URB LA PROVIDENCIA,PR,18.14,-66.26,US
23,705,STANDARD,VILLA DE LA ROSA,PR,18.14,-66.26,US
24,705,STANDARD,VILLA ROSALES,PR,18.14,-66.26,US
25,705,STANDARD,VILLAS DEL COQUI,PR,18.14,-66.26,US
26,610,STANDARD,ANASCO,PR,18.28,-67.14,US
27,610,STANDARD,BRISAS DE ANASCO,PR,18.28,-67.14,US
28,610,STANDARD,EST DE VALLE VERDE,PR,18.28,-67.14,US
29,610,STANDARD,JARD DE ANASCO,PR,18.28,-67.14,US
30,610,STANDARD,PASEO DEL VALLE,PR,18.28,-67.14,US
31,610,STANDARD,REPTO DAGUEY,PR,18.28,-67.14,US
32,610,STANDARD,URB SAN ANTONIO,PR,18.28,-67.14,US
34,612,STANDARD,ARECIBO,PR,18.45,-66.73,US
35,612,STANDARD,ALT DE JUNCOS,PR,18.45,-66.73,US
36,612,STANDARD,ALT DE SAN FELIPE,PR,18.45,-66.73,US
37,612,STANDARD,BDA DUHAMEL,PR,18.45,-66.73,US
38,612,STANDARD,BO EL PASAJE,PR,18.45,-66.73,US
39,612,STANDARD,BO ISLOTE,PR,18.45,-66.73,US
40,612,STANDARD,BO ISLOTE II,PR,18.45,-66.73,US
41,612,STANDARD,BO JAREALITOS,PR,18.45,-66.73,US
42,612,STANDARD,BO OBRERO,PR,18.45,-66.73,US
43,612,STANDARD,BO SANTANA,PR,18.45,-66.73,US
44,612,STANDARD,COMUNIDAD BUENOS AIRES,PR,18.45,-66.73,US
45,612,STANDARD,EST DE ARECIBO,PR,18.45,-66.73,US
46,612,STANDARD,EST DE BALSEIRO,PR,18.45,-66.73,US
47,612,STANDARD,EXT MARISOL,PR,18.45,-66.73,US
48,612,STANDARD,EXT TANAMA,PR,18.45,-66.73,US
49,612,STANDARD,EXT VILLA LOS SANTOS I,PR,18.45,-66.73,US
